"X","性別","醫療層級","縣市","年齡","年度","人數"
7483,"F","區域醫院","宜蘭縣",36,2005,7
7484,"F","區域醫院","宜蘭縣",36,2006,11
7485,"F","區域醫院","宜蘭縣",36,2007,13
7486,"F","區域醫院","宜蘭縣",36,2008,40
7487,"F","區域醫院","宜蘭縣",36,2009,34
7488,"F","區域醫院","宜蘭縣",36,2010,52
7489,"F","區域醫院","宜蘭縣",36,2011,61
7490,"F","區域醫院","宜蘭縣",36,2012,80
7491,"F","區域醫院","宜蘭縣",37,2005,9
7492,"F","區域醫院","宜蘭縣",37,2006,5
7493,"F","區域醫院","宜蘭縣",37,2007,16
7494,"F","區域醫院","宜蘭縣",37,2008,34
7495,"F","區域醫院","宜蘭縣",37,2009,43
7496,"F","區域醫院","宜蘭縣",37,2010,36
7497,"F","區域醫院","宜蘭縣",37,2011,49
7498,"F","區域醫院","宜蘭縣",37,2012,60
7499,"F","區域醫院","宜蘭縣",38,2005,7
7500,"F","區域醫院","宜蘭縣",38,2006,10
7501,"F","區域醫院","宜蘭縣",38,2007,12
7502,"F","區域醫院","宜蘭縣",38,2008,29
7503,"F","區域醫院","宜蘭縣",38,2009,26
7504,"F","區域醫院","宜蘭縣",38,2010,43
7505,"F","區域醫院","宜蘭縣",38,2011,36
7506,"F","區域醫院","宜蘭縣",38,2012,49
7507,"F","區域醫院","宜蘭縣",39,2005,9
7508,"F","區域醫院","宜蘭縣",39,2006,7
7509,"F","區域醫院","宜蘭縣",39,2007,14
7510,"F","區域醫院","宜蘭縣",39,2008,24
7511,"F","區域醫院","宜蘭縣",39,2009,29
7512,"F","區域醫院","宜蘭縣",39,2010,26
7513,"F","區域醫院","宜蘭縣",39,2011,41
7514,"F","區域醫院","宜蘭縣",39,2012,34
7515,"F","區域醫院","宜蘭縣",40,2005,2
7516,"F","區域醫院","宜蘭縣",40,2006,8
7517,"F","區域醫院","宜蘭縣",40,2007,12
7518,"F","區域醫院","宜蘭縣",40,2008,29
7519,"F","區域醫院","宜蘭縣",40,2009,19
7520,"F","區域醫院","宜蘭縣",40,2010,27
7521,"F","區域醫院","宜蘭縣",40,2011,27
7522,"F","區域醫院","宜蘭縣",40,2012,39
7523,"F","區域醫院","宜蘭縣",41,2005,5
7524,"F","區域醫院","宜蘭縣",41,2006,3
7525,"F","區域醫院","宜蘭縣",41,2007,12
7526,"F","區域醫院","宜蘭縣",41,2008,26
7527,"F","區域醫院","宜蘭縣",41,2009,23
7528,"F","區域醫院","宜蘭縣",41,2010,16
7529,"F","區域醫院","宜蘭縣",41,2011,27
7530,"F","區域醫院","宜蘭縣",41,2012,26
7531,"F","區域醫院","宜蘭縣",42,2005,1
7532,"F","區域醫院","宜蘭縣",42,2006,5
7533,"F","區域醫院","宜蘭縣",42,2007,6
7534,"F","區域醫院","宜蘭縣",42,2008,20
7535,"F","區域醫院","宜蘭縣",42,2009,13
7536,"F","區域醫院","宜蘭縣",42,2010,23
7537,"F","區域醫院","宜蘭縣",42,2011,16
7538,"F","區域醫院","宜蘭縣",42,2012,23
7539,"F","區域醫院","宜蘭縣",43,2005,5
7540,"F","區域醫院","宜蘭縣",43,2006,1
7541,"F","區域醫院","宜蘭縣",43,2007,8
7542,"F","區域醫院","宜蘭縣",43,2008,13
7543,"F","區域醫院","宜蘭縣",43,2009,17
7544,"F","區域醫院","宜蘭縣",43,2010,14
7545,"F","區域醫院","宜蘭縣",43,2011,23
7546,"F","區域醫院","宜蘭縣",43,2012,17
7547,"F","區域醫院","宜蘭縣",44,2006,5
7548,"F","區域醫院","宜蘭縣",44,2007,2
7549,"F","區域醫院","宜蘭縣",44,2008,12
7550,"F","區域醫院","宜蘭縣",44,2009,17
7551,"F","區域醫院","宜蘭縣",44,2010,17
7552,"F","區域醫院","宜蘭縣",44,2011,13
7553,"F","區域醫院","宜蘭縣",44,2012,24
7554,"F","區域醫院","宜蘭縣",45,2005,1
7555,"F","區域醫院","宜蘭縣",45,2006,1
7556,"F","區域醫院","宜蘭縣",45,2007,5
7557,"F","區域醫院","宜蘭縣",45,2008,7
7558,"F","區域醫院","宜蘭縣",45,2009,18
7559,"F","區域醫院","宜蘭縣",45,2010,15
7560,"F","區域醫院","宜蘭縣",45,2011,16
7561,"F","區域醫院","宜蘭縣",45,2012,11
7562,"F","區域醫院","宜蘭縣",46,2005,1
7563,"F","區域醫院","宜蘭縣",46,2006,1
7564,"F","區域醫院","宜蘭縣",46,2007,3
7565,"F","區域醫院","宜蘭縣",46,2008,11
7566,"F","區域醫院","宜蘭縣",46,2009,6
7567,"F","區域醫院","宜蘭縣",46,2010,17
7568,"F","區域醫院","宜蘭縣",46,2011,15
7569,"F","區域醫院","宜蘭縣",46,2012,18
7570,"F","區域醫院","宜蘭縣",47,2005,1
7571,"F","區域醫院","宜蘭縣",47,2006,1
7572,"F","區域醫院","宜蘭縣",47,2007,2
7573,"F","區域醫院","宜蘭縣",47,2008,7
7574,"F","區域醫院","宜蘭縣",47,2009,10
7575,"F","區域醫院","宜蘭縣",47,2010,6
7576,"F","區域醫院","宜蘭縣",47,2011,17
7577,"F","區域醫院","宜蘭縣",47,2012,18
7578,"F","區域醫院","宜蘭縣",48,2005,1
7579,"F","區域醫院","宜蘭縣",48,2006,1
7580,"F","區域醫院","宜蘭縣",48,2007,4
7581,"F","區域醫院","宜蘭縣",48,2008,4
7582,"F","區域醫院","宜蘭縣",48,2009,10
7583,"F","區域醫院","宜蘭縣",48,2010,10
7584,"F","區域醫院","宜蘭縣",48,2011,5
7585,"F","區域醫院","宜蘭縣",48,2012,16
7586,"F","區域醫院","宜蘭縣",49,2005,1
7587,"F","區域醫院","宜蘭縣",49,2006,1
7588,"F","區域醫院","宜蘭縣",49,2007,4
7589,"F","區域醫院","宜蘭縣",49,2008,5
7590,"F","區域醫院","宜蘭縣",49,2009,5
7591,"F","區域醫院","宜蘭縣",49,2010,10
7592,"F","區域醫院","宜蘭縣",49,2011,10
7593,"F","區域醫院","宜蘭縣",49,2012,4
7594,"F","區域醫院","宜蘭縣",50,2005,1
7595,"F","區域醫院","宜蘭縣",50,2006,1
7596,"F","區域醫院","宜蘭縣",50,2007,2
7597,"F","區域醫院","宜蘭縣",50,2008,8
7598,"F","區域醫院","宜蘭縣",50,2009,6
7599,"F","區域醫院","宜蘭縣",50,2010,5
7600,"F","區域醫院","宜蘭縣",50,2011,7
7601,"F","區域醫院","宜蘭縣",50,2012,10
7602,"F","區域醫院","宜蘭縣",51,2005,1
7603,"F","區域醫院","宜蘭縣",51,2007,2
7604,"F","區域醫院","宜蘭縣",51,2008,3
7605,"F","區域醫院","宜蘭縣",51,2009,6
7606,"F","區域醫院","宜蘭縣",51,2010,6
7607,"F","區域醫院","宜蘭縣",51,2011,5
7608,"F","區域醫院","宜蘭縣",51,2012,6
7609,"F","區域醫院","宜蘭縣",52,2005,2
7610,"F","區域醫院","宜蘭縣",52,2006,1
7611,"F","區域醫院","宜蘭縣",52,2008,2
7612,"F","區域醫院","宜蘭縣",52,2009,4
7613,"F","區域醫院","宜蘭縣",52,2010,6
7614,"F","區域醫院","宜蘭縣",52,2011,6
7615,"F","區域醫院","宜蘭縣",52,2012,4
7616,"F","區域醫院","宜蘭縣",53,2005,1
7617,"F","區域醫院","宜蘭縣",53,2006,2
7618,"F","區域醫院","宜蘭縣",53,2007,1
7619,"F","區域醫院","宜蘭縣",53,2008,1
7620,"F","區域醫院","宜蘭縣",53,2009,1
7621,"F","區域醫院","宜蘭縣",53,2010,1
7622,"F","區域醫院","宜蘭縣",53,2011,6
7623,"F","區域醫院","宜蘭縣",53,2012,6
7624,"F","區域醫院","宜蘭縣",54,2005,1
7625,"F","區域醫院","宜蘭縣",54,2006,1
7626,"F","區域醫院","宜蘭縣",54,2007,2
7627,"F","區域醫院","宜蘭縣",54,2008,1
7628,"F","區域醫院","宜蘭縣",54,2009,2
7629,"F","區域醫院","宜蘭縣",54,2010,1
7630,"F","區域醫院","宜蘭縣",54,2011,2
7631,"F","區域醫院","宜蘭縣",54,2012,6
7632,"F","區域醫院","宜蘭縣",55,2006,1
7633,"F","區域醫院","宜蘭縣",55,2007,1
7634,"F","區域醫院","宜蘭縣",55,2008,5
7635,"F","區域醫院","宜蘭縣",55,2009,2
7636,"F","區域醫院","宜蘭縣",55,2010,2
7637,"F","區域醫院","宜蘭縣",55,2011,1
7638,"F","區域醫院","宜蘭縣",55,2012,2
7639,"F","區域醫院","宜蘭縣",56,2007,1
7640,"F","區域醫院","宜蘭縣",56,2008,1
7641,"F","區域醫院","宜蘭縣",56,2009,3
7642,"F","區域醫院","宜蘭縣",56,2011,2
7643,"F","區域醫院","宜蘭縣",56,2012,1
7644,"F","區域醫院","宜蘭縣",57,2008,2
7645,"F","區域醫院","宜蘭縣",57,2010,3
7646,"F","區域醫院","宜蘭縣",57,2012,2
7647,"F","區域醫院","宜蘭縣",58,2008,1
7648,"F","區域醫院","宜蘭縣",58,2009,1
7649,"F","區域醫院","宜蘭縣",58,2011,3
7650,"F","區域醫院","宜蘭縣",59,2008,1
7651,"F","區域醫院","宜蘭縣",59,2009,1
7652,"F","區域醫院","宜蘭縣",59,2010,1
7653,"F","區域醫院","宜蘭縣",59,2011,1
7654,"F","區域醫院","宜蘭縣",59,2012,3
7655,"F","區域醫院","宜蘭縣",60,2010,1
7656,"F","區域醫院","宜蘭縣",60,2011,1
7657,"F","區域醫院","宜蘭縣",61,2005,1
7658,"F","區域醫院","宜蘭縣",61,2011,2
7659,"F","區域醫院","宜蘭縣",61,2012,1
7660,"F","區域醫院","宜蘭縣",62,2006,1
7661,"F","區域醫院","宜蘭縣",62,2012,1
7662,"F","區域醫院","宜蘭縣",64,2008,2
7663,"F","區域醫院","宜蘭縣",65,2008,1
7664,"F","區域醫院","雲林縣",19,2005,1
7665,"F","區域醫院","雲林縣",19,2011,1
7666,"F","區域醫院","雲林縣",20,2005,9
7667,"F","區域醫院","雲林縣",20,2006,8
7668,"F","區域醫院","雲林縣",20,2007,17
7669,"F","區域醫院","雲林縣",20,2008,7
7670,"F","區域醫院","雲林縣",20,2009,12
7671,"F","區域醫院","雲林縣",20,2010,16
7672,"F","區域醫院","雲林縣",20,2011,13
7673,"F","區域醫院","雲林縣",20,2012,7
7674,"F","區域醫院","雲林縣",21,2005,31
7675,"F","區域醫院","雲林縣",21,2006,21
7676,"F","區域醫院","雲林縣",21,2007,29
7677,"F","區域醫院","雲林縣",21,2008,22
7678,"F","區域醫院","雲林縣",21,2009,16
7679,"F","區域醫院","雲林縣",21,2010,27
7680,"F","區域醫院","雲林縣",21,2011,28
7681,"F","區域醫院","雲林縣",21,2012,27
7682,"F","區域醫院","雲林縣",22,2005,42
7683,"F","區域醫院","雲林縣",22,2006,45
7684,"F","區域醫院","雲林縣",22,2007,57
7685,"F","區域醫院","雲林縣",22,2008,54
7686,"F","區域醫院","雲林縣",22,2009,46
7687,"F","區域醫院","雲林縣",22,2010,37
7688,"F","區域醫院","雲林縣",22,2011,46
7689,"F","區域醫院","雲林縣",22,2012,43
7690,"F","區域醫院","雲林縣",23,2005,51
7691,"F","區域醫院","雲林縣",23,2006,51
7692,"F","區域醫院","雲林縣",23,2007,74
7693,"F","區域醫院","雲林縣",23,2008,83
7694,"F","區域醫院","雲林縣",23,2009,63
7695,"F","區域醫院","雲林縣",23,2010,56
7696,"F","區域醫院","雲林縣",23,2011,49
7697,"F","區域醫院","雲林縣",23,2012,61
7698,"F","區域醫院","雲林縣",24,2005,59
7699,"F","區域醫院","雲林縣",24,2006,60
7700,"F","區域醫院","雲林縣",24,2007,85
7701,"F","區域醫院","雲林縣",24,2008,83
7702,"F","區域醫院","雲林縣",24,2009,88
7703,"F","區域醫院","雲林縣",24,2010,60
7704,"F","區域醫院","雲林縣",24,2011,53
7705,"F","區域醫院","雲林縣",24,2012,50
7706,"F","區域醫院","雲林縣",25,2005,55
7707,"F","區域醫院","雲林縣",25,2006,68
7708,"F","區域醫院","雲林縣",25,2007,88
7709,"F","區域醫院","雲林縣",25,2008,98
7710,"F","區域醫院","雲林縣",25,2009,92
7711,"F","區域醫院","雲林縣",25,2010,95
7712,"F","區域醫院","雲林縣",25,2011,55
7713,"F","區域醫院","雲林縣",25,2012,52
7714,"F","區域醫院","雲林縣",26,2005,63
7715,"F","區域醫院","雲林縣",26,2006,56
7716,"F","區域醫院","雲林縣",26,2007,95
7717,"F","區域醫院","雲林縣",26,2008,95
7718,"F","區域醫院","雲林縣",26,2009,99
7719,"F","區域醫院","雲林縣",26,2010,86
7720,"F","區域醫院","雲林縣",26,2011,81
7721,"F","區域醫院","雲林縣",26,2012,59
7722,"F","區域醫院","雲林縣",27,2005,47
7723,"F","區域醫院","雲林縣",27,2006,69
7724,"F","區域醫院","雲林縣",27,2007,91
7725,"F","區域醫院","雲林縣",27,2008,111
7726,"F","區域醫院","雲林縣",27,2009,91
7727,"F","區域醫院","雲林縣",27,2010,90
7728,"F","區域醫院","雲林縣",27,2011,82
7729,"F","區域醫院","雲林縣",27,2012,80
7730,"F","區域醫院","雲林縣",28,2005,43
7731,"F","區域醫院","雲林縣",28,2006,51
7732,"F","區域醫院","雲林縣",28,2007,115
7733,"F","區域醫院","雲林縣",28,2008,91
7734,"F","區域醫院","雲林縣",28,2009,106
7735,"F","區域醫院","雲林縣",28,2010,92
7736,"F","區域醫院","雲林縣",28,2011,85
7737,"F","區域醫院","雲林縣",28,2012,81
7738,"F","區域醫院","雲林縣",29,2005,37
7739,"F","區域醫院","雲林縣",29,2006,43
7740,"F","區域醫院","雲林縣",29,2007,80
7741,"F","區域醫院","雲林縣",29,2008,120
7742,"F","區域醫院","雲林縣",29,2009,96
7743,"F","區域醫院","雲林縣",29,2010,105
7744,"F","區域醫院","雲林縣",29,2011,85
7745,"F","區域醫院","雲林縣",29,2012,76
7746,"F","區域醫院","雲林縣",30,2005,27
7747,"F","區域醫院","雲林縣",30,2006,39
7748,"F","區域醫院","雲林縣",30,2007,65
7749,"F","區域醫院","雲林縣",30,2008,85
7750,"F","區域醫院","雲林縣",30,2009,111
7751,"F","區域醫院","雲林縣",30,2010,97
7752,"F","區域醫院","雲林縣",30,2011,95
7753,"F","區域醫院","雲林縣",30,2012,96
7754,"F","區域醫院","雲林縣",31,2005,27
7755,"F","區域醫院","雲林縣",31,2006,26
7756,"F","區域醫院","雲林縣",31,2007,64
7757,"F","區域醫院","雲林縣",31,2008,69
7758,"F","區域醫院","雲林縣",31,2009,74
7759,"F","區域醫院","雲林縣",31,2010,113
7760,"F","區域醫院","雲林縣",31,2011,97
7761,"F","區域醫院","雲林縣",31,2012,95
7762,"F","區域醫院","雲林縣",32,2005,20
7763,"F","區域醫院","雲林縣",32,2006,26
7764,"F","區域醫院","雲林縣",32,2007,36
7765,"F","區域醫院","雲林縣",32,2008,74
7766,"F","區域醫院","雲林縣",32,2009,69
7767,"F","區域醫院","雲林縣",32,2010,80
7768,"F","區域醫院","雲林縣",32,2011,110
7769,"F","區域醫院","雲林縣",32,2012,95
7770,"F","區域醫院","雲林縣",33,2005,25
7771,"F","區域醫院","雲林縣",33,2006,19
7772,"F","區域醫院","雲林縣",33,2007,41
7773,"F","區域醫院","雲林縣",33,2008,45
7774,"F","區域醫院","雲林縣",33,2009,69
7775,"F","區域醫院","雲林縣",33,2010,66
7776,"F","區域醫院","雲林縣",33,2011,77
7777,"F","區域醫院","雲林縣",33,2012,101
7778,"F","區域醫院","雲林縣",34,2005,22
7779,"F","區域醫院","雲林縣",34,2006,24
7780,"F","區域醫院","雲林縣",34,2007,30
7781,"F","區域醫院","雲林縣",34,2008,46
7782,"F","區域醫院","雲林縣",34,2009,42
7783,"F","區域醫院","雲林縣",34,2010,69
7784,"F","區域醫院","雲林縣",34,2011,62
7785,"F","區域醫院","雲林縣",34,2012,72
7786,"F","區域醫院","雲林縣",35,2005,14
7787,"F","區域醫院","雲林縣",35,2006,23
7788,"F","區域醫院","雲林縣",35,2007,27
7789,"F","區域醫院","雲林縣",35,2008,39
7790,"F","區域醫院","雲林縣",35,2009,40
7791,"F","區域醫院","雲林縣",35,2010,48
7792,"F","區域醫院","雲林縣",35,2011,65
7793,"F","區域醫院","雲林縣",35,2012,64
7794,"F","區域醫院","雲林縣",36,2005,14
7795,"F","區域醫院","雲林縣",36,2006,14
7796,"F","區域醫院","雲林縣",36,2007,28
7797,"F","區域醫院","雲林縣",36,2008,37
7798,"F","區域醫院","雲林縣",36,2009,28
7799,"F","區域醫院","雲林縣",36,2010,40
7800,"F","區域醫院","雲林縣",36,2011,45
7801,"F","區域醫院","雲林縣",36,2012,67
7802,"F","區域醫院","雲林縣",37,2005,15
7803,"F","區域醫院","雲林縣",37,2006,13
7804,"F","區域醫院","雲林縣",37,2007,20
7805,"F","區域醫院","雲林縣",37,2008,32
7806,"F","區域醫院","雲林縣",37,2009,28
7807,"F","區域醫院","雲林縣",37,2010,31
7808,"F","區域醫院","雲林縣",37,2011,39
7809,"F","區域醫院","雲林縣",37,2012,46
7810,"F","區域醫院","雲林縣",38,2005,12
7811,"F","區域醫院","雲林縣",38,2006,14
7812,"F","區域醫院","雲林縣",38,2007,18
7813,"F","區域醫院","雲林縣",38,2008,31
7814,"F","區域醫院","雲林縣",38,2009,27
7815,"F","區域醫院","雲林縣",38,2010,29
7816,"F","區域醫院","雲林縣",38,2011,33
7817,"F","區域醫院","雲林縣",38,2012,38
7818,"F","區域醫院","雲林縣",39,2005,9
7819,"F","區域醫院","雲林縣",39,2006,12
7820,"F","區域醫院","雲林縣",39,2007,16
7821,"F","區域醫院","雲林縣",39,2008,20
7822,"F","區域醫院","雲林縣",39,2009,19
7823,"F","區域醫院","雲林縣",39,2010,26
7824,"F","區域醫院","雲林縣",39,2011,28
7825,"F","區域醫院","雲林縣",39,2012,34
7826,"F","區域醫院","雲林縣",40,2005,10
7827,"F","區域醫院","雲林縣",40,2006,10
7828,"F","區域醫院","雲林縣",40,2007,16
7829,"F","區域醫院","雲林縣",40,2008,22
7830,"F","區域醫院","雲林縣",40,2009,17
7831,"F","區域醫院","雲林縣",40,2010,22
7832,"F","區域醫院","雲林縣",40,2011,25
7833,"F","區域醫院","雲林縣",40,2012,28
7834,"F","區域醫院","雲林縣",41,2005,7
7835,"F","區域醫院","雲林縣",41,2006,10
7836,"F","區域醫院","雲林縣",41,2007,15
7837,"F","區域醫院","雲林縣",41,2008,22
7838,"F","區域醫院","雲林縣",41,2009,16
7839,"F","區域醫院","雲林縣",41,2010,18
7840,"F","區域醫院","雲林縣",41,2011,20
7841,"F","區域醫院","雲林縣",41,2012,27
7842,"F","區域醫院","雲林縣",42,2005,5
7843,"F","區域醫院","雲林縣",42,2006,7
7844,"F","區域醫院","雲林縣",42,2007,13
7845,"F","區域醫院","雲林縣",42,2008,21
7846,"F","區域醫院","雲林縣",42,2009,17
7847,"F","區域醫院","雲林縣",42,2010,16
7848,"F","區域醫院","雲林縣",42,2011,18
7849,"F","區域醫院","雲林縣",42,2012,18
7850,"F","區域醫院","雲林縣",43,2005,6
7851,"F","區域醫院","雲林縣",43,2006,5
7852,"F","區域醫院","雲林縣",43,2007,9
7853,"F","區域醫院","雲林縣",43,2008,16
7854,"F","區域醫院","雲林縣",43,2009,15
7855,"F","區域醫院","雲林縣",43,2010,17
7856,"F","區域醫院","雲林縣",43,2011,17
7857,"F","區域醫院","雲林縣",43,2012,19
7858,"F","區域醫院","雲林縣",44,2005,7
7859,"F","區域醫院","雲林縣",44,2006,6
7860,"F","區域醫院","雲林縣",44,2007,5
7861,"F","區域醫院","雲林縣",44,2008,10
7862,"F","區域醫院","雲林縣",44,2009,13
7863,"F","區域醫院","雲林縣",44,2010,13
7864,"F","區域醫院","雲林縣",44,2011,17
7865,"F","區域醫院","雲林縣",44,2012,17
7866,"F","區域醫院","雲林縣",45,2005,8
7867,"F","區域醫院","雲林縣",45,2006,7
7868,"F","區域醫院","雲林縣",45,2007,8
7869,"F","區域醫院","雲林縣",45,2008,8
7870,"F","區域醫院","雲林縣",45,2009,8
7871,"F","區域醫院","雲林縣",45,2010,13
7872,"F","區域醫院","雲林縣",45,2011,13
7873,"F","區域醫院","雲林縣",45,2012,15
7874,"F","區域醫院","雲林縣",46,2005,4
7875,"F","區域醫院","雲林縣",46,2006,8
7876,"F","區域醫院","雲林縣",46,2007,7
7877,"F","區域醫院","雲林縣",46,2008,11
7878,"F","區域醫院","雲林縣",46,2009,5
7879,"F","區域醫院","雲林縣",46,2010,7
7880,"F","區域醫院","雲林縣",46,2011,13
7881,"F","區域醫院","雲林縣",46,2012,14
7882,"F","區域醫院","雲林縣",47,2005,3
7883,"F","區域醫院","雲林縣",47,2006,4
7884,"F","區域醫院","雲林縣",47,2007,8
7885,"F","區域醫院","雲林縣",47,2008,8
7886,"F","區域醫院","雲林縣",47,2009,6
7887,"F","區域醫院","雲林縣",47,2010,5
7888,"F","區域醫院","雲林縣",47,2011,8
7889,"F","區域醫院","雲林縣",47,2012,13
7890,"F","區域醫院","雲林縣",48,2005,1
7891,"F","區域醫院","雲林縣",48,2006,3
7892,"F","區域醫院","雲林縣",48,2007,7
7893,"F","區域醫院","雲林縣",48,2008,9
7894,"F","區域醫院","雲林縣",48,2009,6
7895,"F","區域醫院","雲林縣",48,2010,5
7896,"F","區域醫院","雲林縣",48,2011,4
7897,"F","區域醫院","雲林縣",48,2012,8
7898,"F","區域醫院","雲林縣",49,2005,3
7899,"F","區域醫院","雲林縣",49,2006,1
7900,"F","區域醫院","雲林縣",49,2007,2
7901,"F","區域醫院","雲林縣",49,2008,8
7902,"F","區域醫院","雲林縣",49,2009,8
7903,"F","區域醫院","雲林縣",49,2010,6
7904,"F","區域醫院","雲林縣",49,2011,5
7905,"F","區域醫院","雲林縣",49,2012,4
7906,"F","區域醫院","雲林縣",50,2005,2
7907,"F","區域醫院","雲林縣",50,2006,2
7908,"F","區域醫院","雲林縣",50,2007,2
7909,"F","區域醫院","雲林縣",50,2008,3
7910,"F","區域醫院","雲林縣",50,2009,7
7911,"F","區域醫院","雲林縣",50,2010,5
7912,"F","區域醫院","雲林縣",50,2011,5
7913,"F","區域醫院","雲林縣",50,2012,5
7914,"F","區域醫院","雲林縣",51,2005,2
7915,"F","區域醫院","雲林縣",51,2006,3
7916,"F","區域醫院","雲林縣",51,2007,3
7917,"F","區域醫院","雲林縣",51,2008,4
7918,"F","區域醫院","雲林縣",51,2009,2
7919,"F","區域醫院","雲林縣",51,2010,7
7920,"F","區域醫院","雲林縣",51,2011,5
7921,"F","區域醫院","雲林縣",51,2012,5
7922,"F","區域醫院","雲林縣",52,2005,3
7923,"F","區域醫院","雲林縣",52,2006,2
7924,"F","區域醫院","雲林縣",52,2007,3
7925,"F","區域醫院","雲林縣",52,2008,4
7926,"F","區域醫院","雲林縣",52,2009,2
7927,"F","區域醫院","雲林縣",52,2010,2
7928,"F","區域醫院","雲林縣",52,2011,5
7929,"F","區域醫院","雲林縣",52,2012,3
7930,"F","區域醫院","雲林縣",53,2006,3
7931,"F","區域醫院","雲林縣",53,2007,2
7932,"F","區域醫院","雲林縣",53,2008,1
7933,"F","區域醫院","雲林縣",53,2009,4
7934,"F","區域醫院","雲林縣",53,2010,1
7935,"F","區域醫院","雲林縣",53,2011,2
7936,"F","區域醫院","雲林縣",53,2012,5
7937,"F","區域醫院","雲林縣",54,2005,2
7938,"F","區域醫院","雲林縣",54,2007,3
7939,"F","區域醫院","雲林縣",54,2008,3
7940,"F","區域醫院","雲林縣",54,2009,1
7941,"F","區域醫院","雲林縣",54,2010,4
7942,"F","區域醫院","雲林縣",54,2011,1
7943,"F","區域醫院","雲林縣",54,2012,2
7944,"F","區域醫院","雲林縣",55,2006,1
7945,"F","區域醫院","雲林縣",55,2008,3
7946,"F","區域醫院","雲林縣",55,2009,2
7947,"F","區域醫院","雲林縣",55,2011,5
7948,"F","區域醫院","雲林縣",55,2012,1
7949,"F","區域醫院","雲林縣",56,2007,1
7950,"F","區域醫院","雲林縣",56,2009,1
7951,"F","區域醫院","雲林縣",56,2010,2
7952,"F","區域醫院","雲林縣",56,2012,5
7953,"F","區域醫院","雲林縣",57,2007,1
7954,"F","區域醫院","雲林縣",57,2008,1
7955,"F","區域醫院","雲林縣",57,2010,1
7956,"F","區域醫院","雲林縣",57,2011,1
7957,"F","區域醫院","雲林縣",58,2008,1
7958,"F","區域醫院","雲林縣",58,2011,1
7959,"F","區域醫院","雲林縣",59,2008,1
7960,"F","區域醫院","雲林縣",59,2009,1
7961,"F","區域醫院","雲林縣",59,2012,1
7962,"F","區域醫院","雲林縣",60,2010,2
7963,"F","區域醫院","雲林縣",61,2008,1
7964,"F","區域醫院","雲林縣",61,2011,1
7965,"F","區域醫院","雲林縣",62,2012,1
7966,"F","區域醫院","彰化縣",19,2006,1
7967,"F","區域醫院","彰化縣",20,2005,22
7968,"F","區域醫院","彰化縣",20,2006,26
7969,"F","區域醫院","彰化縣",20,2007,39
7970,"F","區域醫院","彰化縣",20,2008,13
7971,"F","區域醫院","彰化縣",20,2009,16
7972,"F","區域醫院","彰化縣",20,2010,11
7973,"F","區域醫院","彰化縣",20,2011,16
7974,"F","區域醫院","彰化縣",20,2012,23
7975,"F","區域醫院","彰化縣",21,2005,37
7976,"F","區域醫院","彰化縣",21,2006,69
7977,"F","區域醫院","彰化縣",21,2007,66
7978,"F","區域醫院","彰化縣",21,2008,61
7979,"F","區域醫院","彰化縣",21,2009,28
7980,"F","區域醫院","彰化縣",21,2010,27
7981,"F","區域醫院","彰化縣",21,2011,23
7982,"F","區域醫院","彰化縣",21,2012,27
7983,"F","區域醫院","彰化縣",22,2005,39
7984,"F","區域醫院","彰化縣",22,2006,66
7985,"F","區域醫院","彰化縣",22,2007,158
7986,"F","區域醫院","彰化縣",22,2008,99
7987,"F","區域醫院","彰化縣",22,2009,94
7988,"F","區域醫院","彰化縣",22,2010,50
7989,"F","區域醫院","彰化縣",22,2011,53
7990,"F","區域醫院","彰化縣",22,2012,62
7991,"F","區域醫院","彰化縣",23,2005,38
7992,"F","區域醫院","彰化縣",23,2006,68
7993,"F","區域醫院","彰化縣",23,2007,129
7994,"F","區域醫院","彰化縣",23,2008,190
7995,"F","區域醫院","彰化縣",23,2009,126
7996,"F","區域醫院","彰化縣",23,2010,115
7997,"F","區域醫院","彰化縣",23,2011,67
7998,"F","區域醫院","彰化縣",23,2012,78
7999,"F","區域醫院","彰化縣",24,2005,45
8000,"F","區域醫院","彰化縣",24,2006,74
8001,"F","區域醫院","彰化縣",24,2007,125
8002,"F","區域醫院","彰化縣",24,2008,148
8003,"F","區域醫院","彰化縣",24,2009,189
8004,"F","區域醫院","彰化縣",24,2010,138
8005,"F","區域醫院","彰化縣",24,2011,113
8006,"F","區域醫院","彰化縣",24,2012,71
8007,"F","區域醫院","彰化縣",25,2005,37
8008,"F","區域醫院","彰化縣",25,2006,80
8009,"F","區域醫院","彰化縣",25,2007,115
8010,"F","區域醫院","彰化縣",25,2008,151
8011,"F","區域醫院","彰化縣",25,2009,142
8012,"F","區域醫院","彰化縣",25,2010,178
8013,"F","區域醫院","彰化縣",25,2011,115
8014,"F","區域醫院","彰化縣",25,2012,106
8015,"F","區域醫院","彰化縣",26,2005,26
8016,"F","區域醫院","彰化縣",26,2006,65
8017,"F","區域醫院","彰化縣",26,2007,123
8018,"F","區域醫院","彰化縣",26,2008,136
8019,"F","區域醫院","彰化縣",26,2009,129
8020,"F","區域醫院","彰化縣",26,2010,137
8021,"F","區域醫院","彰化縣",26,2011,160
8022,"F","區域醫院","彰化縣",26,2012,119
8023,"F","區域醫院","彰化縣",27,2005,32
8024,"F","區域醫院","彰化縣",27,2006,50
8025,"F","區域醫院","彰化縣",27,2007,97
8026,"F","區域醫院","彰化縣",27,2008,134
